defaultProfilePic,role,name,surname,username,password,facultyId,majorId,teacherId,false,2024-10-16 04:03:36
default-profile-pic.png,เจ้าหน้าที่ภาควิชา,วรชัย,คำหอม,worachai,password,N,N05,,false,2023-10-15 10:30:45
default-profile-pic.png,อาจารย์ที่ปรึกษา,อภิชัย,จอมเกาะ,apichai.j,password,D,D14,D1401,false,2024-10-18 15:48:46
default-profile-pic.png,อาจารย์ที่ปรึกษา,ศศินา,ประชุมเชื้อ,sasinap123,password,D,D14,D1402,false,2023-10-15 10:30:45
default-profile-pic.png,อาจารย์ที่ปรึกษา,วาสิตา,มหรรณพากร,vasitama456,password,D,D04,D0401,false,2023-10-15 10:30:45
default-profile-pic.png,อาจารย์ที่ปรึกษา,ปิยวัฒน์,พิมแสน,piyawatp789,password,D,D04,D0402,false,2023-10-15 10:30:45
default-profile-pic.png,อาจารย์ที่ปรึกษา,ริสา,บำรุงกุล,risab567,password,D,D07,D0701,false,2023-10-15 10:30:45
default-profile-pic.png,อาจารย์ที่ปรึกษา,ศิริรัตน์,หาญบัว,sirirath789,password,D,D07,D0702,false,2023-10-15 10:30:45
default-profile-pic.png,อาจารย์ที่ปรึกษา,ณัฐพงศ์,ศรีลา,nattaponl321,password,E,E06,E0601,false,2023-10-15 10:30:45
default-profile-pic.png,อาจารย์ที่ปรึกษา,พรรณนิภา,ฟองชัย,pannichf789,password,E,E06,E0602,false,2023-10-15 10:30:45
default-profile-pic.png,อาจารย์ที่ปรึกษา,ชนาธิป,พรพินิจ,chanatip999,password,E,E05,E0501,false,2023-10-15 10:30:45
default-profile-pic.png,อาจารย์ที่ปรึกษา,พลาธิป,พงษ์อนุกูล,platipp123,password,E,E05,E0502,false,2023-10-15 10:30:45
default-profile-pic.png,อาจารย์ที่ปรึกษา,ณัฐพร,แพรเพ็ชร,nattaponp456,password,E,E03,E0301,false,2023-10-15 10:30:45
default-profile-pic.png,อาจารย์ที่ปรึกษา,ภัทรวดี,เพ็ชรรักษ์,patvdper789,password,E,E03,E0302,false,2023-10-15 10:30:45
default-profile-pic.png,อาจารย์ที่ปรึกษา,กานน,อิทธิดี,kannit789,password,N,N01,N0101,false,2023-10-15 10:30:45
default-profile-pic.png,อาจารย์ที่ปรึกษา,พรณิชา,เอาฤกษ์,pornich789,password,N,N01,N0102,false,2023-10-15 10:30:45
default-profile-pic.png,อาจารย์ที่ปรึกษา,กานธิชา,มงคลพร,ganthich555,password,N,N04,N0401,false,2023-10-15 10:30:45
default-profile-pic.png,อาจารย์ที่ปรึกษา,วิชญาภรณ์,สุขใจ,wichayap567,password,N,N04,N0402,false,2023-10-15 10:30:45
default-profile-pic.png,อาจารย์ที่ปรึกษา,นภัสสร,ประเสริฐกุล,napatsorn456,password,N,N05,N0501,false,2023-10-15 10:30:45
default-profile-pic.png,อาจารย์ที่ปรึกษา,ดวงกมล,สินธุพาน,duangkamol123,password,N,N05,N0502,false,2023-10-15 10:30:45
